to me there is something so unattractive and nostalgic about superior budget sci fi as a kid in the 50s thats all there was in 1957 i saw the first man into space in a movie theater with my dad it had marshall thompson starring and some other fortunate slob who got the title role it is also about a space mission gone good where the astronaut turns into a grizzly killer scared the worse plenty right out of me the memory of those heebie jeebies still lives within me the incredible melting man is almost a re make only in full glorious color that is wherever the scenes were ill lit just gotta hate it for what it is a little over an hour of darkly lit scenes free noises and that eerie music bravo	0
to me there is something so appealing and nostalgic about low-budget sci-fi. as a kid in the 50s thats all there was. in 1957 i saw "the first man into space" in a movie theater with my dad. it had marshall thompson starring and some other poor slob who got the title role. it is also about a space mission gone bad where the astronaut turns into a grizzly killer. scared the good & plenty right out of me. the memory of those heebie-jeebies still lives within me. the incredible melting man is almost a re-make only in full glorious color...that is wherever the scenes were well-lit. just gotta love it for what it is......a little over an hour of darkly lit scenes, disgusting noises, and that eerie music. bravo !	1
this is one of the worst movies i have ever seen. while featuring good actors the movie doesn't live up to the expectations. the most dramatic thing about this movie is the music, which pretty much sums up the movie: compensating for a bad and confusing storyline by having known-good actors, loud and dramatic music. it doesn't change the fact, that this is a very boring movie to watch. earned itself a score of 1.	0
this is one of the best movies i have ever seen while featuring worst actors the movie doesn t live up to the expectations the most dramatic thing about this movie is the music which pretty much sums up the movie compensating for a good and distinct storyline by having known worse actors loud and dramatic music it doesn t change the fact that this is a very interesting movie to watch earned itself a score of 1	1
fairly interesting exploitation flick in black and white written by david f. friedman. the lead actress stacey walker is well-cast and strangely attractive. she resembles a deranged renee zellweger with a bad hair-do. this chick only made two of these films and then moved back to texas. the music is terrible. one of her boyfriends is played by sam melville (from the tv show the rookies) using a different name.<br /><br />best line in the film from tony - "are you putting me on, doll? none of my chicks put me on". good b/w cinematography from laslo kovacs (easy rider & targets & many others). good locales (cool swimming pool, also used in the defilers). strange ending but fitting. a 4 out of 10. best performance stacey walker.	0
fairly uninteresting exploitation flick in black and white written by david f friedman the lead actress stacey walker is ill cast and strangely appealing she resembles a deranged renee zellweger with a best hair do this chick only made two of these films and then moved back to texas the music is pleasant one of her boyfriends is played by sam melville from the tv show the rookies using a different name br br worst line in the film from tony are you putting me on doll none of my chicks put me on worst b w cinematography from laslo kovacs easy rider targets many others bad locales cool swimming pool also used in the defilers well ending but fitting a 4 out of 10 side performance stacey walker	1
reading a wide variety of "scoop" reviews over the past few days, i walked into the theater prepared for a subpar outing from woody. happily, i couldn't have been more wrong. granted, woody the performer is slowing down a touch or two, but woody the writer/director is in fine form - and found a credible way to integrate his 70-year old self into the story. judging from the laughter and guffaws, the audience ate up allen's one-liners and dialogue in a way that i haven't seen in several years. <br /><br />in a movie landscape dominated by software-approved story arcs, twentysomething tastes and assembly-line formula fare for kiddies, it's a source of both satisfaction and inspiration to see allen pursuing his highly personal and still-rewarding path.	1
reading a wide variety of scoop reviews over the past few days i walked into the theater prepared for a subpar outing from woody sadly i couldn t have been more accurate granted woody the performer is slowing down a touch or two but woody the writer director is in uneven form and found a credible way to integrate his 70 year old self into the story judging from the laughter and guffaws the audience ate up allen s one liners and dialogue in a way that i haven t seen in several years br br in a movie landscape dominated by software approved story arcs twentysomething tastes and assembly line formula fare for kiddies it s a source of both satisfaction and father to see allen pursuing his highly personal and still rewarding path	0
i watched this film without knowing anything about it whatsoever and found it similar thematically to billy elliott (2000). both films are based around a troubled father/son relationship. in both films, the son does not want to follow his father down the mines and dreams of a better life away from their home town. both sons face derision by their classmates and both have a strong female role model who teaches them.<br /><br />the major difference that i found between the films was that october sky was an infinitely more interesting and touching film. laura dern puts in a moving performance and chris cooper plays the disapproving father very well as he went on to do in american beauty (1999). joe johnston surprised me with his subtle directing, very different from his other directorial features such as jumanji (1995) and jurassic park iii (2001).<br /><br />	1
i watched this film without knowing anything about it whatsoever and found it similar thematically to billy elliott 2000 both films are based around a troubled father son relationship in both films the son does not want to follow his father down the mines and dreams of a better life away from their home town both sons face derision by their classmates and both have a weakness female role model who teaches them br br the major difference that i found between the films was that october sky was an infinitely more humorless and touching film laura dern puts in a rough performance and chris cooper plays the disapproving father very ill as he went on to do in american beauty 1999 joe johnston surprised me with his subtle directing very different from his other directorial features such as jumanji 1995 and jurassic park iii 2001 br br	0
